ID,Contenitore,Categoria,Lat,Long,LDCN,PRCD,Scheda_Chiesa,Numero opere,Link_StorieMemorie,Link_OrigineBologna,Link_BibSalaBorsa,Link_Wiki,Link_GenusBononiae,Link_CentroFasoli,Link_Archiginnasio,Link_Carisbo,Link_Beweb,Link_CatBBCC,Link_Chiese_ita,Path
99,Chiesa di S. Maria della Misericordia,Chiese,44.48480752291994,11.349154876052701,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20della%20Misericordia&page=1&filtrolocalizzazione_OA=5412%7C3312,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20della%20Misericordia&page=1&filtroprovenienza_OA=5412%7C3312,"https://catalogo.fondazionezeri.unibo.it/scheda/opera/118872/Maestranze%20sec.%20XV%20XVI%2C%20null",16,,,https://www.bibliotecasalaborsa.it/bolognaonline/i-cartigli-di-bologna-edifici-storici-giardini-e-canali/place/chiesa-di-santa-maria-della-misericordia-832a6b,,,,,,,,,
100,Chiesa di S. Maria della Morte,Chiese,44.49341904830312,11.34431249576172,,,,2,,https://www.originebologna.com/strade/morte-via-della/n-1124/,,,,,,,,,,
101,Chiesa di S. Maria della Pietà,Chiese,44.494346729210086,11.35557910860107,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20della%20Piet%C3%A0&page=1&filtrolocalizzazione_OA=5412%7C6880,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20della%20Piet%C3%A0&page=1&filtroprovenienza_OA=5412%7C6880,,19,,https://www.originebologna.com/strade/strada-san-vitale/n-7-14/,,,,,,,,,,
102,Chiesa di S. Maria della Purificazione,Chiese,44.49971195968511,11.350074235581722,,,,1,,https://www.originebologna.com/strade/mascarella/n-1573/,,,,,,,,,,
103,Chiesa di S. Maria delle Grazie,Chiese,44.50032037246235,11.3252644760527,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20delle%20Grazie&page=1&filtroprovenienza_OA=5412%7C801,,2,,,,,,,,,,,,
104,Chiesa di S. Maria delle Laudi,Chiese,44.49612847695958,11.336721951061268,,,,1,,https://www.originebologna.com/strade/san-felice/n-70-71/,,,,,,,,,,
105,Chiesa di S. Maria delle Muratelle,Chiese,44.490440199043555,11.337253562562372,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20delle%20Muratelle&page=1&filtrolocalizzazione_OA=5412%7C1616,,2,https://www.storiaememoriadibologna.it/archivio/luoghi/chiesa-di-santa-maria-delle-muratelle,,,,,,,,,,,
106,Chiesa di S. Maria delle Rondini,Chiese,44.49284219230643,11.33127119515086,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20delle%20Rondini&page=1&filtroprovenienza_OA=5412%7C7287,,,,https://www.originebologna.com/strade/rondine-via-della/chiesa-oratorio-di-s-maria-delle-rondini/,,,,,,,,,,
107,Chiesa di S. Maria di Mezzaratta,Chiese,44.48264433860241,11.334579350927951,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20di%20Mezzaratta&page=1&filtroprovenienza_OA=5412%7C3207,,,,,https://www.bibliotecasalaborsa.it/bolognaonline/mappa-degli-scrittori-e-scrittrici-a-bologna/mezzaratta_villa_minghetti,,,,,,,,,
108,Chiesa di S. Maria Incoronata,Chiese,44.49632548321058,11.356920889044037,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20Incoronata&page=1&filtrolocalizzazione_OA=5412%7C3530,,,2,,https://www.originebologna.com/strade/mura-della-citta-wip/n-3308-3309/,,,,,,,,,,
109,Chiesa di S. Maria Labarum Coeli//Chiesa di S. Maria della Baroncella,Chiese,44.49302705193708,11.341460606745162,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20Labarum%20Coeli%2F%2FChiesa%20di%20S.%20Maria%20della%20Baroncella&page=1&filtrolocalizzazione_OA=5412%7C9972,,,7,,https://www.originebologna.com/strade/fusari/n-12/,,,,,,,,,,
110,Chiesa di S. Maria Lacrimosa degli Alemanni,Chiese,44.48719944562352,11.364898477908604,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20Lacrimosa%20degli%20Alemanni&page=1&filtrolocalizzazione_OA=5412%7C5615,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20Lacrimosa%20degli%20Alemanni&page=1&filtroprovenienza_OA=5412%7C7533,,12,,,https://www.bibliotecasalaborsa.it/bolognaonline/events/restaurato_il_santuario_di_santa_maria_lacrimosa_degli_alemanni,,,,,,,,,
111,Convento di S. Maria della Visitazione,Conventi e monasteri,44.66731097946115,11.359272843066213,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Convento%20di%20s.%20maria%20della%20visitazione&page=1&filtroprovenienza_OA=5412%7C1875,,25,,,https://www.bibliotecasalaborsa.it/bolognaonline/events/l-ex-monastero-della-visitazione-alla-fondazione-sant-orsola,,,,,,,,,
112,Chiesa di S. Maria Maddalena,Chiese,44.49765184303347,11.354125006745162,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20Maddalena&page=1&filtrolocalizzazione_OA=5412%7C924,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20Maddalena&page=1&filtroprovenienza_OA=5412%7C924,,11,,https://www.originebologna.com/strade/strada-san-donato/n-2519/,,,,,,,,,,
113,Chiesa di S. Mattia (ex),Chiese,44.68283224580263,11.331515691387816,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Mattia&page=1&filtrolocalizzazione_OA=5412%7C1542,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Mattia&page=1&filtroprovenienza_OA=5412%7C8289,,15,,https://www.originebologna.com/strade/strada-sant-isaia/n-413-414-415/,,,,,,,,,,
114,Monastero di S. Mattia,Conventi e monasteri,44.49389110549325,11.334177913490327,,,,1,,,,,,,,,,,,
115,Chiesa di S. Michele dei Leprosetti,Chiese,44.49403699819949,11.349451255817211,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Michele%20dei%20Leprosetti&page=1&filtrolocalizzazione_OA=5412%7C3342,,,1,,https://www.originebologna.com/strade/via-di-san-michele-dei-leprosetti/n-930/,,,,,,,,,,
116,Chiesa di S. Michele in Bosco,Chiese,44.48215255787172,11.342049874241663,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Michele%20in%20Bosco&page=1&filtrolocalizzazione_OA=5412%7C2926,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Michele%20in%20Bosco&page=1&filtroprovenienza_OA=5412%7C2926,,39,https://www.storiaememoriadibologna.it/archivio/luoghi/san-michele-bosco-istituto-ortopedico-rizzoli,,,,,,,,,,,
117,Convento di S. Michele in Bosco,Conventi e monasteri,44.481393571900576,11.341702462108255,"https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Convento%20di%20S.%20Michele%20in%20Bosco&page=1&filtrolocalizzazione_OA=5412%7C10035",https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Convento%20di%20S.%20Michele%20in%20Bosco&page=1&filtroprovenienza_OA=5412%7C7472,,,,,,,,,,,,,,
